超^喜欢,415,16,0.962877,0.037123
实用^！,415,51,0.890558,0.109442
够^高,414,16,0.962791,0.037209
地盘^高,414,26,0.940909,0.059091
烂^路,413,1166,0.261558,0.738442
挺^漂亮,413,21,0.951613,0.048387
好^停车,411,10,0.976247,0.023753
算是^比较,410,95,0.811881,0.188119
外观^吸引,409,7,0.983173,0.016827
满足^日常,409,69,0.855649,0.144351
特别^满意,408,61,0.869936,0.130064
级别^车中,406,40,0.910314,0.089686
比较^耐看,404,12,0.971154,0.028846
科技^感强,403,5,0.987745,0.012255
算^比较,400,75,0.842105,0.157895
T^发动机,397,131,0.751894,0.248106
高速^稳,392,9,0.977556,0.022444
质量^好,392,48,0.890909,0.109091
紧凑型^车,390,112,0.776892,0.223108
动力^澎湃,389,14,0.965261,0.034739
感觉^挺,388,143,0.730697,0.269303
大气^稳重,388,5,0.987277,0.012723
外观^好,387,6,0.984733,0.015267
不到^发动机,387,43,0.900000,0.100000
 ^省油,387,6,0.984733,0.015267
底盘^调教,387,117,0.767857,0.232143
最最^满意,387,0,1.000000,0.000000
一键^升降,386,1583,0.196039,0.803961
！^性价比,384,27,0.934307,0.065693
值得^信赖,384,4,0.989691,0.010309
比较^丰富,382,8,0.979487,0.020513
动感^时尚,379,4,0.989556,0.010444
表现^不错,379,37,0.911058,0.088942
相当^好,377,22,0.944862,0.055138
一点^问题,377,82,0.821351,0.178649
用料^扎实,377,14,0.964194,0.035806
后^独立,376,91,0.805139,0.194861
全^时,376,20,0.949495,0.050505
冲着^外观,375,3,0.992063,0.007937
值得^拥有,375,21,0.946970,0.053030
超车^无,375,18,0.954198,0.045802
方向盘^指向,374,49,0.884161,0.115839
空间^特别,373,24,0.939547,0.060453
翼^虎,372,139,0.727984,0.272016
音响效果^不错,371,5,0.986702,0.013298
内饰^好看,369,18,0.953488,0.046512
空间^相当,368,16,0.958333,0.041667
质量^稳定,368,8,0.978723,0.021277
 ^大气,367,1,0.997283,0.002717
外观^确实,366,21,0.945736,0.054264
车型^外观,364,17,0.955381,0.044619
好^操控,363,11,0.970588,0.029412
外观^够,362,1,0.997245,0.002755
驾驶^舒适,362,5,0.986376,0.013624
操控^！,359,16,0.957333,0.042667
高^配,359,977,0.268713,0.731287
价格^合适,357,6,0.983471,0.016529
杠杠^滴,356,25,0.934383,0.065617
时尚^漂亮,356,4,0.988889,0.011111
空间^真心,355,110,0.763441,0.236559
舒适度^高,354,9,0.975207,0.024793
90^后,353,48,0.880299,0.119701
够用^！,352,104,0.771930,0.228070
外观^犀利,352,0,1.000000,0.000000
第一眼^看到,352,8,0.977778,0.022222
挺^喜欢,350,63,0.847458,0.152542
天窗^ ,348,115,0.751620,0.248380
无^框,348,43,0.890026,0.109974
安全^系统,347,41,0.894330,0.105670
稳定性^好,345,8,0.977337,0.022663
空间^最,345,13,0.963687,0.036313
稳重^大气,345,11,0.969101,0.030899
同级^车中,345,35,0.907895,0.092105
性价比^！,344,12,0.966292,0.033708
操控^比较,342,16,0.955307,0.044693
辨识^度,340,14,0.960452,0.039548
动力^总成,339,131,0.721277,0.278723
顶^配,337,1081,0.237659,0.762341
行驶^中,335,922,0.266508,0.733492
挂^档,333,1570,0.174987,0.825013
最^爱,333,8,0.976540,0.023460
接受^范围,333,921,0.265550,0.734450
坐^里面,333,75,0.816176,0.183824
动力^够,331,23,0.935028,0.064972
动力^操控,329,18,0.948127,0.051873
空间^方面,328,72,0.820000,0.180000
配置^！,327,88,0.787952,0.212048
越野^能力,325,36,0.900277,0.099723
创驰^蓝天,324,23,0.933718,0.066282
寸^大脚,324,34,0.905028,0.094972
外观^高大,324,0,1.000000,0.000000
空间^超级,324,6,0.981818,0.018182
主^驾驶,323,1712,0.158722,0.841278
棒^！,323,15,0.955621,0.044379
强^！,322,135,0.704595,0.295405
跷^二郎腿,322,12,0.964072,0.035928
后备箱^很大,322,8,0.975758,0.024242
整体^外观,322,26,0.925287,0.074713
外观^看着,321,20,0.941349,0.058651
空间^巨大,321,1,0.996894,0.003106
	^空间,321,126,0.718121,0.281879
方向盘^轻,321,20,0.941349,0.058651
外观^相当,320,1,0.996885,0.003115
刚刚^好,320,91,0.778589,0.221411
车内^空间,320,63,0.835509,0.164491
乘坐^舒服,319,3,0.990683,0.009317
比较^符合,317,15,0.954819,0.045181
高^配置,317,86,0.786600,0.213400
档位^清晰,316,16,0.951807,0.048193
电子^配置,316,74,0.810256,0.189744
时尚^！,315,5,0.984375,0.015625
找^不到,315,1199,0.208058,0.791942
操控^舒适,315,4,0.987461,0.012539
车^好,314,115,0.731935,0.268065
特别^适合,313,8,0.975078,0.024922
油^跑,312,95,0.766585,0.233415
SUV^中,312,26,0.923077,0.076923
级别^车里,311,38,0.891117,0.108883
小毛病^少,311,8,0.974922,0.025078
牛^逼,309,88,0.778338,0.221662
迈^锐,309,121,0.718605,0.281395
高^颜值,309,6,0.980952,0.019048
做工^精良,308,6,0.980892,0.019108
油耗^相当,305,26,0.921450,0.078550
锐^宝,305,119,0.719340,0.280660
一箱^油,305,125,0.709302,0.290698
声音^很小,305,87,0.778061,0.221939
一大^亮点,304,4,0.987013,0.012987
1.^外观,303,11,0.964968,0.035032
技术^成熟,303,29,0.912651,0.087349
油耗^真心,302,121,0.713948,0.286052
点^赞,301,18,0.943574,0.056426
五个^人,300,88,0.773196,0.226804
外形^很漂亮,299,0,1.000000,0.000000
音响^不错,297,3,0.990000,0.010000
很棒^！,296,4,0.986667,0.013333
燃油^经济性,296,69,0.810959,0.189041
价格^买,295,63,0.824022,0.175978
空间^挺大,295,8,0.973597,0.026403
脸^霸气,295,3,0.989933,0.010067
 ^回头率,294,1,0.996610,0.003390
非^承载,294,13,0.957655,0.042345
质量^可靠,294,6,0.980000,0.020000
觉得^拥挤,294,9,0.970297,0.029703
四个^人,293,102,0.741772,0.258228
外观^没得说,292,0,1.000000,0.000000
爱^！,292,12,0.960526,0.039474
费用^低,292,8,0.973333,0.026667
腰部^支撑,290,702,0.292339,0.707661
坡道^辅助,289,103,0.737245,0.262755
	^外观,289,62,0.823362,0.176638
10^W,288,117,0.711111,0.288889
价格^比较,288,62,0.822857,0.177143
车^最,288,71,0.802228,0.197772
噪音^很小,286,17,0.943894,0.056106
霸气^！,286,23,0.925566,0.074434
路感^清晰,285,46,0.861027,0.138973
好^太,285,63,0.818966,0.181034
运动感^十足,285,5,0.982759,0.017241
性^不错,284,20,0.934211,0.065789
空调^出风口,284,1128,0.201133,0.798867
看越^好看,284,4,0.986111,0.013889
内饰^空间,284,40,0.876543,0.123457
后^悬挂,283,2029,0.122405,0.877595
框^车门,282,27,0.912621,0.087379
适合^新手,282,28,0.909677,0.090323
驱^系统,282,61,0.822157,0.177843
配置^好,281,26,0.915309,0.084691
安全^方面,281,87,0.763587,0.236413
动感^十足,280,4,0.985915,0.014085
发动机^启停,279,732,0.275964,0.724036
家庭^使用,279,21,0.930000,0.070000
小^问题,278,2426,0.102811,0.897189
算^满意,278,72,0.794286,0.205714
低^配,278,1588,0.148982,0.851018
城市^SUV,277,114,0.708440,0.291560
电动^折叠,277,784,0.261074,0.738926
比同^级别,276,85,0.764543,0.235457
最^看重,276,10,0.965035,0.034965
一家^三口,276,115,0.705882,0.294118
价位^里,275,35,0.887097,0.112903
动力^家用,275,27,0.910596,0.089404
用料^实在,275,27,0.910596,0.089404
经济^适用,275,6,0.978648,0.021352
比较^扎实,274,9,0.968198,0.031802
度^全景,272,55,0.831804,0.168196
被动^安全,271,44,0.860317,0.139683
上档次^！,270,22,0.924658,0.075342
改装^潜力,270,14,0.950704,0.049296
外观^高端,270,4,0.985401,0.014599
时尚^大方,269,0,1.000000,0.000000
电动^助力,268,90,0.748603,0.251397
车型^里,268,33,0.890365,0.109635
里面^空间,268,33,0.890365,0.109635
外观^颜值,267,3,0.988889,0.011111
方向^指向,267,28,0.905085,0.094915
外观^外观,267,4,0.985240,0.014760
有人^问,265,33,0.889262,0.110738
上下班^代步,265,77,0.774854,0.225146
油耗^超低,265,1,0.996241,0.003759
	^动力,264,95,0.735376,0.264624
空间^宽大,264,3,0.988764,0.011236
外形^！,264,6,0.977778,0.022222
比较^齐全,264,4,0.985075,0.014925
外形^霸气,263,0,1.000000,0.000000
外观^满意,263,3,0.988722,0.011278
油耗^经济,263,1,0.996212,0.003788
高档^车,263,71,0.787425,0.212575
外形^靓丽,263,0,1.000000,0.000000
内饰^科技,263,33,0.888514,0.111486
霸气^十足,263,4,0.985019,0.014981
 ^比较,263,112,0.701333,0.298667
不算^高,262,89,0.746439,0.253561
宽敞^舒适,262,4,0.984962,0.015038
后备箱^超大,261,2,0.992395,0.007605
操作^简单,261,6,0.977528,0.022472
驾乘^舒适,261,0,1.000000,0.000000
操控^简单,261,1,0.996183,0.003817
满意^外观,261,5,0.981203,0.018797
够用^ ,260,65,0.800000,0.200000
感^不错,260,6,0.977444,0.022556
酷^炫,260,12,0.955882,0.044118
空间^充裕,259,4,0.984791,0.015209
